Absorption/nm,Emission/nm,PLQY,SMILES,solvent,Reference(doi),Et30,SP,SdP,SA,SB,"Test method of Quantum Yield (0= measured by relative method/not mention in origin paper, 1= absolute QY)",Unnamed: 13,solvent_smiles
355.0,427.0,0.39,O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=CN2C=C1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,Figure 2 Quantum yields were measured using fluorescein (ϕf = 0.92) and 2-aminopyridine (ϕf = 0.60) as external standards.,C[S](C)=O
426.0,520.0,0.43,O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=C(N2C=C1)N,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
387.0,528.0,0.49,O=C(C1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
355.0,627.0,0.002,COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C(C(OC)=O)=CC=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
365.0,560.0,0.009,COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=N4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
355.0,491.0,0.46,COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
350.0,490.0,0.25,COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
341.0,495.0,0.29,OCC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
357.0,518.0,0.08,ClC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
389.0,525.0,0.42,N#CC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
368.0,516.0,0.24,CCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
368.0,516.0,0.24,CCCCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
329.0,485.0,0.21,CCCCCCCCC1=C(NC2CCCCC2)N(C=CN=C3)C3=N1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
